timestamp,voltage,current
1667527473.481071,6,100
1667527473.6042721,3752,90
1667527473.726045,5000,90
1667527473.8481722,5000,90
1667527473.9721034,5000,100
1667527474.0948255,5000,100
1667527474.2390301,5000,100
1667527474.3614185,5000,90
1667527474.5068328,5000,90
1667527474.630108,5000,90
1667527474.7530053,5000,90
1667527474.8998902,5000,90
1667527475.021898,5000,90
1667527475.1674829,5000,90
1667527475.2892241,5000,90
1667527475.4110835,5000,90
1667527475.532798,5000,90
1667527475.6557312,5000,90
1667527475.7783737,5000,90
1667527475.9479191,5000,90
1667527476.070595,5000,100
1667527476.2029963,5000,90
1667527476.3450007,5000,90
1667527476.4698403,5000,100
1667527476.6105254,5000,90
1667527476.7351906,5000,100
1667527476.8578584,5000,90
1667527476.9825752,5000,90
1667527477.134471,5000,100
1667527477.2601252,5000,90
1667527477.3981192,5000,90
1667527477.5228393,5000,90
1667527477.6946976,5000,90
1667527477.8222287,5000,90
1667527477.950485,5000,90
1667527478.1176608,5000,100
1667527478.2418125,5000,100
1667527478.415321,5000,90
1667527478.5387747,5000,90
1667527478.6620905,5000,90
1667527478.7856631,5000,90
1667527478.9330206,5000,90
1667527479.0547326,5000,100
1667527479.19815,5000,90
1667527479.3209186,5000,90
1667527479.4436333,5000,100
1667527479.568205,5000,90
1667527479.712095,5000,90
1667527479.8610826,5000,90
1667527479.9848943,5000,100
1667527480.1097255,5000,100
1667527480.282179,5000,90
1667527480.4042513,5000,90
1667527480.5291789,5000,100
1667527480.6743329,5000,90
1667527480.797819,5000,90
1667527480.941654,5000,90
1667527481.0655246,5000,100
1667527481.1879072,5000,90
1667527481.31227,5000,90
1667527481.458694,5000,90
1667527481.5797005,5000,100
1667527481.7248359,5000,90
1667527481.8475497,5000,90
1667527481.97024,5000,100
1667527482.092991,5000,90
1667527482.2399275,5000,100
1667527482.386275,5000,100
1667527482.508897,5000,90
1667527482.632199,5000,90
1667527482.7552686,5000,100
1667527482.9024808,5000,100
1667527483.0238428,5000,90
1667527483.1678433,5000,90
1667527483.2892644,5000,90
1667527483.4125817,5000,90
timestamp,voltage,current
1667527668.6092412,6,90
1667527668.7334976,5000,90
1667527668.855429,5000,90
1667527668.9772084,5000,90
1667527669.1009245,5000,90
1667527669.2642622,5000,100
1667527669.403682,5000,90
1667527669.5336106,5000,100
1667527669.7016103,5000,100
1667527669.827551,5000,100
1667527669.9969506,5000,90
1667527670.122967,5000,100
1667527670.246394,5000,90
1667527670.3711205,5000,100
1667527670.520032,5000,100
1667527670.6497104,5000,100
1667527670.7814567,5000,100
1667527670.9065657,5000,90
1667527671.0831108,5000,90
1667527671.206992,5000,90
1667527671.3328912,5000,90
1667527671.5053694,5000,90
1667527671.6584888,5000,90
1667527671.8020828,5000,90
1667527671.9350958,5000,90
1667527672.0838327,5000,90
1667527672.2233162,5000,90
1667527672.3468595,5000,90
1667527672.4691017,5000,100
1667527672.5930758,5000,100
1667527672.7386527,5000,90
1667527672.8834524,5000,90
1667527673.0091333,5000,90
1667527673.1319277,5000,90
1667527673.2549267,5000,90
1667527673.4033172,5000,90
1667527673.5267773,5000,90
1667527673.6688926,5000,90
1667527673.7906961,5000,100
1667527673.9149232,5000,90
1667527674.0372164,5000,100
1667527674.1834404,5000,90
1667527674.3285913,5000,90
1667527674.4510744,5000,90
1667527674.5730052,5000,90
1667527674.697589,5000,90
1667527674.8213084,5000,100
1667527674.9647012,5000,90
1667527675.1159797,5000,90
1667527675.2407093,5000,100
1667527675.4032679,5000,90
1667527675.5357552,5000,100
1667527675.659204,5000,90
1667527675.7829726,5000,90
1667527675.9318738,5000,100
1667527676.0535214,5000,90
1667527676.1947088,5000,90
1667527676.316065,5000,90
1667527676.444077,5000,90
1667527676.5896504,5000,90
1667527676.714692,5000,100
1667527676.856972,5000,90
1667527676.9806054,5000,90
1667527677.1058142,5000,90
1667527677.2281935,5000,100
1667527677.3752534,5000,90
1667527677.4992225,5000,90
1667527677.64251,5000,100
1667527677.7671697,5000,100
1667527677.935785,5000,90
1667527678.0616324,5000,100
1667527678.1835861,5000,100
1667527678.3083932,5000,100
1667527678.4315844,5000,90
1667527678.5766323,5000,90
1667527722.120032,6,90
1667527722.2425487,5002,90
1667527722.3775463,5000,100
1667527722.5012057,5000,100
1667527722.622802,5000,90
1667527722.7464037,5000,90
1667527722.892656,5000,90
1667527723.034936,5000,90
1667527723.1612554,5000,100
1667527723.283337,5000,90
1667527723.4070625,5000,90
1667527723.5298824,5000,100
1667527723.674397,5000,90
1667527723.821526,5000,100
1667527723.9437115,5000,90
1667527724.0682445,5000,90
1667527724.1913514,5000,100
1667527724.3414948,5000,100
1667527724.4825897,5000,90
1667527724.6091156,5000,100
1667527733.3661702,6,100
1667527733.5026536,3171,100
1667527733.6253445,5000,90
1667527733.7464843,5000,90
1667527733.8676488,5000,90
1667527733.9915876,5000,90
1667527734.1142282,5000,90
1667527734.2846599,5000,90
1667527734.40668,5000,100
1667527734.5289543,5000,90
1667527734.6531422,5000,90
1667527734.7995648,5000,90
1667527734.9466076,5000,90
1667527735.068417,5000,90
1667527735.190936,5000,90
1667527735.313608,5000,90
1667527735.4356515,5000,90
1667527735.5569751,5000,100
1667527735.7331293,5000,90
1667527735.854919,5000,100
1667527736.0318453,5000,100
1667527736.153337,5000,90
1667527736.2736938,5000,90
1667527736.3989294,5000,90
1667527736.5483656,5000,90
1667527736.6734667,5000,90
1667527736.8134537,5000,90
1667527736.9353902,5000,90
1667527737.1096458,5000,90
1667527737.2324343,5000,90
1667527737.357468,5000,100
